date,product_id,product_name,quantity_produced,materials_used
2023-10-02,2,Стул,108,Дерево:108kg;Металл:28kg
2023-10-07,3,Шкаф,52,Дерево:260kg
2023-10-12,1,Стол,77,Дерево:154kg
2023-10-17,2,Стул,110,Дерево:110kg;Металл:28kg
2023-10-22,3,Шкаф,53,Дерево:265kg
2023-10-27,1,Стол,79,Дерево:158kg
2023-11-01,2,Стул,112,Дерево:112kg;Металл:29kg
2023-11-06,3,Шкаф,54,Дерево:270kg
2023-11-11,1,Стол,80,Дерево:160kg
2023-11-16,2,Стул,114,Дерево:114kg;Металл:29kg
2023-11-21,3,Шкаф,55,Дерево:275kg
2023-11-26,1,Стол,82,Дерево:164kg
2023-12-01,2,Стул,116,Дерево:116kg;Металл:30kg
2023-12-06,3,Шкаф,56,Дерево:280kg
2023-12-11,1,Стол,83,Дерево:166kg
2023-12-16,2,Стул,118,Дерево:118kg;Металл:30kg
2023-12-21,3,Шкаф,57,Дерево:285kg
2023-12-26,1,Стол,85,Дерево:170kg
2023-12-31,2,Стул,120,Дерево:120kg;Металл:31kg
2024-01-05,3,Шкаф,58,Дерево:290kg
2024-01-10,1,Стол,62,Дерево:124kg
2024-01-15,2,Стул,88,Дерево:88kg;Металл:22kg
2024-01-20,3,Шкаф,41,Дерево:205kg
2024-01-25,1,Стол,66,Дерево:132kg
2024-01-30,2,Стул,90,Дерево:90kg;Металл:23kg
2024-02-04,3,Шкаф,43,Дерево:215kg
2024-02-09,1,Стол,64,Дерево:128kg
2024-02-14,2,Стул,92,Дерево:92kg;Металл:24kg
2024-02-19,3,Шкаф,44,Дерево:220kg
2024-02-24,1,Стол,65,Дерево:130kg
2024-02-29,2,Стул,94,Дерево:94kg;Металл:24kg
2024-03-05,3,Шкаф,45,Дерево:225kg
2024-03-10,1,Стол,67,Дерево:134kg
2024-03-15,2,Стул,96,Дерево:96kg;Металл:25kg
2024-03-20,3,Шкаф,46,Дерево:230kg
2024-03-25,1,Стол,68,Дерево:136kg
2024-03-30,2,Стул,98,Дерево:98kg;Металл:25kg
2024-04-04,3,Шкаф,47,Дерево:235kg
2024-04-09,1,Стол,70,Дерево:140kg
2024-04-14,2,Стул,100,Дерево:100kg;Металл:26kg
2024-04-19,3,Шкаф,48,Дерево:240kg
2024-04-24,1,Стол,71,Дерево:142kg
2024-04-29,2,Стул,102,Дерево:102kg;Металл:26kg
2024-05-04,3,Шкаф,49,Дерево:245kg
2024-05-09,1,Стол,73,Дерево:146kg
2024-05-14,2,Стул,104,Дерево:104kg;Металл:27kg
2024-05-19,3,Шкаф,50,Дерево:250kg
2024-05-24,1,Стол,74,Дерево:148kg
2024-05-29,2,Стул,106,Дерево:106kg;Металл:27kg
2024-06-03,3,Шкаф,51,Дерево:255kg
2024-06-08,1,Стол,76,Дерево:152kg
2024-06-13,2,Стул,108,Дерево:108kg;Металл:28kg
2024-06-18,3,Шкаф,52,Дерево:260kg
2024-06-23,1,Стол,77,Дерево:154kg
2024-06-28,2,Стул,110,Дерево:110kg;Металл:28kg
2024-07-03,3,Шкаф,53,Дерево:265kg
2024-07-08,1,Стол,79,Дерево:158kg
2024-07-13,2,Стул,112,Дерево:112kg;Металл:29kg
2024-07-18,3,Шкаф,54,Дерево:270kg
2024-07-23,1,Стол,80,Дерево:160kg
2024-07-28,2,Стул,114,Дерево:114kg;Металл:29kg
2024-08-02,3,Шкаф,55,Дерево:275kg
2024-08-07,1,Стол,82,Дерево:164kg
2024-08-12,2,Стул,116,Дерево:116kg;Металл:30kg
2024-08-17,3,Шкаф,56,Дерево:280kg
2024-08-22,1,Стол,83,Дерево:166kg
2024-08-27,2,Стул,118,Дерево:118kg;Металл:30kg
2024-08-31,3,Шкаф,57,Дерево:285kg
